id,cleabs,code_insee,nom_commune,iris,code_iris,nom_iris,type_iris,area_km2,bin_count,trilib_count,green_area_m2,CODE_IRIS,COM,P22_POP,P22_PMEN,bin_density,population_density,trilib_density,green_ratio,arrondissement_code,distance_to_paris_centroid_m
iris_ge.17,IRIS____0000000751083006,75108,Paris 8e Arrondissement,3006,751083006,Faubourg du Roule 6,A,0.04054268851492409,1,0,373.76858962972506,751083006,75108,330.884896511902,330.884896511902,24.665359812827706,8161.395029096322,0.0,0.00921913674995031,08,3161.8603753526436
iris_ge.52,IRIS____0000000751093307,75109,Paris 9e Arrondissement,3307,751093307,Saint-Georges 7,H,0.07285055295878268,2,0,51.54200672964917,751093307,75109,3041.2637511581,3041.2637511581,27.45346354655068,41746.61176393244,0.0,0.0007075033014342467,09,2797.215301875907
iris_ge.66,IRIS____0000000751104009,75110,Paris 10e Arrondissement,4009,751104009,Hôpital Saint-Louis 9,H,0.05989632466956164,2,1,0.0,751104009,75110,2282.97031333207,2242.33954582035,33.39103043523417,38115.36560760362,16.695515217617086,0.0,10,3020.238617894848
iris_ge.69,IRIS____0000000751093608,75109,Paris 9e Arrondissement,3608,751093608,Rochechouart 8,H,0.06140239879646817,0,0,0.0,751093608,75109,2504.11161904635,2504.11161904635,0.0,40781.98357277183,0.0,0.0,09,2690.6744996312764
iris_ge.105,IRIS____0000000751051706,75105,Paris 5e Arrondissement,1706,751051706,Saint-Victor 6,A,0.15300302036128852,18,0,0.0,751051706,75105,74.4230052490151,74.4230052490151,117.64473640779318,486.41526862201056,0.0,0.0,05,1471.890056295061
iris_ge.114,IRIS____0000000751010102,75101,Paris 1er Arrondissement,0102,751010102,Saint-Germain l'Auxerrois 2,A,0.06155353475229657,0,0,2992.059124834185,751010102,75101,157.787119820794,157.787119820794,0.0,2563.412815458286,0.0,0.04860905449012496,01,112.96253048187374
iris_ge.119,IRIS____0000000751197612,75119,Paris 19e Arrondissement,7612,751197612,Combat 12,H,0.08005252967520785,1,2,0.0,751197612,75119,2230.17481791357,2220.17484126367,12.491797624100549,27858.892491741608,24.983595248201098,0.0,19,3607.461547015874
iris_ge.123,IRIS____0000000751207913,75120,Paris 20e Arrondissement,7913,751207913,Père Lachaise 13,H,0.04562761687099112,0,0,0.0,751207913,75120,1954.96078535304,1954.96078535304,0.0,42845.99809103671,0.0,0.0,20,4053.7303337955814
iris_ge.160,IRIS____0000000751010103,75101,Paris 1er Arrondissement,0103,751010103,Saint-Germain l'Auxerrois 3,A,0.04766118994032759,23,0,589.0911099914761,751010103,75101,345.636304407593,336.636586508991,482.5729283888272,7251.944503281055,0.0,0.012359974871148318,01,341.88204275511015
iris_ge.172,IRIS____0000000751083101,75108,Paris 8e Arrondissement,3101,751083101,Madeleine 1,A,0.12201079953180564,0,0,0.0,751083101,75108,129.118963076603,129.118963076603,0.0,1058.2584785287338,0.0,0.0,08,2095.71841290759
iris_ge.182,IRIS____0000000751155732,75115,Paris 15e Arrondissement,5732,751155732,Saint-Lambert 32,A,0.3108683108135226,7,0,8080.542402392659,751155732,75115,0.0,0.0,22.517573379163174,0.0,0.0,0.02599345806990231,15,4979.23355537564
iris_ge.191,IRIS____0000000751155733,75115,Paris 15e Arrondissement,5733,751155733,Saint-Lambert 33,A,0.014679505709726553,0,1,0.0,751155733,75115,0.0,0.0,0.0,0.0,68.12218475022671,0.0,15,3550.812393919413
iris_ge.200,IRIS____0000000751145311,75114,Paris 14e Arrondissement,5311,751145311,Montparnasse 11,A,0.08105083953326903,4,2,0.0,751145311,75114,80.16029628829,80.16029628829,49.35174050057946,989.0125352173128,24.67587025028973,0.0,14,2187.6427001618945
iris_ge.203,IRIS____0000000751010104,75101,Paris 1er Arrondissement,0104,751010104,Saint-Germain l'Auxerrois 4,A,0.22385413980571026,18,0,0.0,751010104,75101,0.0,0.0,80.40950243592877,0.0,0.0,0.0,01,750.1961221170493
iris_ge.214,IRIS____0000000751145407,75114,Paris 14e Arrondissement,5407,751145407,Parc de Montsouris 7,A,0.13820538346516362,0,0,0.0,751145407,75114,327.085215342049,310.418527581276,0.0,2366.660452300651,0.0,0.0,14,3132.901554809328
iris_ge.399,IRIS____0000000751083102,75108,Paris 8e Arrondissement,3102,751083102,Madeleine 2,A,0.1012379523946997,0,0,0.0,751083102,75108,224.608608718882,224.608608718882,0.0,2218.6206200930765,0.0,0.0,08,2566.731471322984
iris_ge.433,IRIS____0000000751083103,75108,Paris 8e Arrondissement,3103,751083103,Madeleine 3,A,0.08106649840608939,1,0,0.0,751083103,75108,837.191959036643,837.191959036643,12.335551919248607,10327.224877073962,0.0,0.0,08,2718.1222265446986
iris_ge.437,IRIS____0000000751083104,75108,Paris 8e Arrondissement,3104,751083104,Madeleine 4,A,0.07560692225899512,0,0,0.0,751083104,75108,468.987796416811,468.987796416811,0.0,6202.974309816116,0.0,0.0,08,2575.6830585046587
iris_ge.443,IRIS____0000000751093401,75109,Paris 9e Arrondissement,3401,751093401,Chaussée d'Antin 1,A,0.04169160331063925,0,0,0.0,751093401,75109,149.554241693083,149.554241693083,0.0,3587.154962086055,0.0,0.0,09,1798.2828800475409
iris_ge.447,IRIS____0000000751093402,75109,Paris 9e Arrondissement,3402,751093402,Chaussée d'Antin 2,A,0.06351545347790585,3,0,0.0,751093402,75109,0.0,0.0,47.23259987498261,0.0,0.0,0.0,09,1857.854025224992
iris_ge.478,IRIS____0000000751093403,75109,Paris 9e Arrondissement,3403,751093403,Chaussée d'Antin 3,A,0.12179245782158947,4,0,0.0,751093403,75109,1252.35947968049,1252.35947968049,32.842756206295576,10282.734268447379,0.0,0.0,09,1993.5084558533265
iris_ge.482,IRIS____0000000751093404,75109,Paris 9e Arrondissement,3404,751093404,Chaussée d'Antin 4,A,0.024585480363571263,3,0,0.0,751093404,75109,112.042535935584,112.042535935584,122.02324118283866,4557.264461734878,0.0,0.0,09,2156.1333455839185
iris_ge.488,IRIS____0000000751010205,75101,Paris 1er Arrondissement,0205,751010205,Les Halles 5,A,0.06857557015091738,54,0,18128.06552017937,751010205,75101,0.0,0.0,787.4524394206237,0.0,0.0,0.26435165584892856,01,656.5759578132302
iris_ge.490,IRIS____0000000751010206,75101,Paris 1er Arrondissement,0206,751010206,Les Halles 6,A,0.039151369664033854,7,0,0.0,751010206,75101,548.586711949229,548.586711949229,178.79323405716005,14011.941770026619,0.0,0.0,01,902.5402414290187
iris_ge.503,IRIS____0000000751093405,75109,Paris 9e Arrondissement,3405,751093405,Chaussée d'Antin 5,A,0.04408295529757489,0,0,0.0,751093405,75109,405.879574613449,405.879574613449,0.0,9207.177056838053,0.0,0.0,09,2011.4758784341539
iris_ge.505,IRIS____0000000751010302,75101,Paris 1er Arrondissement,0302,751010302,Palais Royal 2,A,0.03601006781103163,0,0,0.0,751010302,75101,177.3401231638,177.3401231638,0.0,4924.737273320883,0.0,0.0,01,955.3088310190394
iris_ge.514,IRIS____0000000751010303,75101,Paris 1er Arrondissement,0303,751010303,Palais Royal 3,A,0.039777096756429375,5,0,0.0,751010303,75101,290.546820877295,290.546820877295,125.70047609600428,7304.374742491291,0.0,0.0,01,887.3761144511087
