id,cleabs,code_insee,nom_commune,iris,code_iris,nom_iris,type_iris,area_km2,bin_count,trilib_count,green_area_m2,CODE_IRIS,COM,P22_POP,P22_PMEN,bin_density,population_density,trilib_density,green_ratio,arrondissement_code,distance_to_paris_centroid_m,predicted_bin_density,priority_score,residual,abs_error,suspected_false_zero,is_special_iris,coverage_zero_type,predicted_bin_density_fullfit,priority_score_fullfit,predicted_bin_density_robust,priority_score_robust
iris_ge.17,IRIS____0000000751083006,75108,Paris 8e Arrondissement,3006,751083006,Faubourg du Roule 6,A,0.040542688514924,1,0,373.76858962972506,751083006,75108,330.884896511902,330.884896511902,24.665359812827703,8161.395029096322,0.0,0.0092191367499503,08,3161.860375352644,42.93895728891334,18.27359747608564,18.27359747608564,18.27359747608564,False,False,observed_non_zero,32.56917385065875,7.903814037831047,31.572570805531413,6.90721099270371
iris_ge.52,IRIS____0000000751093307,75109,Paris 9e Arrondissement,3307,751093307,Saint-Georges 7,H,0.0728505529587826,2,0,51.54200672964917,751093307,75109,3041.2637511581,3041.2637511581,27.45346354655068,41746.61176393244,0.0,0.0007075033014342,09,2797.215301875907,49.656096815648304,22.202633269097625,22.202633269097625,22.202633269097625,False,False,observed_non_zero,36.69352357805142,9.24006003150074,39.576958020837914,12.123494474287234
iris_ge.66,IRIS____0000000751104009,75110,Paris 10e Arrondissement,4009,751104009,Hôpital Saint-Louis 9,H,0.0598963246695616,2,1,0.0,751104009,75110,2282.97031333207,2242.33954582035,33.39103043523417,38115.36560760362,16.695515217617086,0.0,10,3020.238617894848,48.90252431294639,15.511493877712219,15.511493877712219,15.511493877712219,False,False,observed_non_zero,39.35373595878043,5.962705523546262,45.81140814849307,12.420377713258901
iris_ge.69,IRIS____0000000751093608,75109,Paris 9e Arrondissement,3608,751093608,Rochechouart 8,H,0.0614023987964681,0,0,0.0,751093608,75109,2504.11161904635,2504.11161904635,0.0,40781.98357277183,0.0,0.0,09,2690.6744996312764,59.01444488037961,59.01444488037961,59.01444488037961,59.01444488037961,True,False,suspected_false_zero,24.308514712489316,24.308514712489316,69.35365421296204,69.35365421296204
iris_ge.105,IRIS____0000000751051706,75105,Paris 5e Arrondissement,1706,751051706,Saint-Victor 6,A,0.1530030203612885,18,0,0.0,751051706,75105,74.4230052490151,74.4230052490151,117.64473640779318,486.41526862201056,0.0,0.0,05,1471.890056295061,92.76037365471976,-24.884362753073418,-24.884362753073418,24.884362753073418,False,False,observed_non_zero,106.04888031058061,-11.595856097212561,105.71419208055778,-11.930544327235395
iris_ge.114,IRIS____0000000751010102,75101,Paris 1er Arrondissement,0102,751010102,Saint-Germain l'Auxerrois 2,A,0.0615535347522965,0,0,2992.059124834185,751010102,75101,157.787119820794,157.787119820794,0.0,2563.412815458286,0.0,0.0486090544901249,01,112.96253048187374,294.0640930357777,294.0640930357777,294.0640930357777,294.0640930357777,False,False,potential_true_zero,147.26776911819582,147.26776911819582,153.25023159971275,153.25023159971275
iris_ge.119,IRIS____0000000751197612,75119,Paris 19e Arrondissement,7612,751197612,Combat 12,H,0.0800525296752078,1,2,0.0,751197612,75119,2230.17481791357,2220.17484126367,12.491797624100547,27858.892491741608,24.983595248201095,0.0,19,3607.461547015874,50.98805442993182,38.49625680583127,38.49625680583127,38.49625680583127,False,False,observed_non_zero,28.522579723534193,16.030782099433644,33.097601894270895,20.605804270170346
iris_ge.123,IRIS____0000000751207913,75120,Paris 20e Arrondissement,7913,751207913,Père Lachaise 13,H,0.0456276168709911,0,0,0.0,751207913,75120,1954.96078535304,1954.96078535304,0.0,42845.99809103671,0.0,0.0,20,4053.730333795581,44.41133380326512,44.41133380326512,44.41133380326512,44.41133380326512,True,False,suspected_false_zero,16.223210527589362,16.223210527589362,60.4930480451016,60.4930480451016
iris_ge.160,IRIS____0000000751010103,75101,Paris 1er Arrondissement,0103,751010103,Saint-Germain l'Auxerrois 3,A,0.0476611899403275,23,0,589.0911099914761,751010103,75101,345.636304407593,336.636586508991,482.5729283888272,7251.944503281055,0.0,0.0123599748711483,01,341.8820427551101,88.47673509280756,-394.0961932960197,-394.0961932960197,394.0961932960197,False,False,observed_non_zero,289.16125595455543,-193.4116724342718,302.0502807818412,-180.52264760698603
iris_ge.172,IRIS____0000000751083101,75108,Paris 8e Arrondissement,3101,751083101,Madeleine 1,A,0.1220107995318056,0,0,0.0,751083101,75108,129.118963076603,129.118963076603,0.0,1058.2584785287338,0.0,0.0,08,2095.71841290759,135.36033945703994,135.36033945703994,135.36033945703994,135.36033945703994,False,False,potential_true_zero,57.54171144151724,57.54171144151724,54.535629170264826,54.535629170264826
iris_ge.182,IRIS____0000000751155732,75115,Paris 15e Arrondissement,5732,751155732,Saint-Lambert 32,A,0.3108683108135226,7,0,8080.542402392659,751155732,75115,0.0,0.0,22.51757337916317,0.0,0.0,0.0259934580699023,15,4979.23355537564,41.622158020812286,19.104584641649115,19.104584641649115,19.104584641649115,False,True,observed_non_zero,32.584731654410874,10.067158275247703,32.127868056231016,9.610294677067845
iris_ge.191,IRIS____0000000751155733,75115,Paris 15e Arrondissement,5733,751155733,Saint-Lambert 33,A,0.0146795057097265,0,1,0.0,751155733,75115,0.0,0.0,0.0,0.0,68.12218475022671,0.0,15,3550.812393919413,140.36952511266486,140.36952511266486,140.36952511266486,140.36952511266486,True,True,suspected_false_zero,79.58543098431134,79.58543098431134,174.3681942171517,174.3681942171517
iris_ge.200,IRIS____0000000751145311,75114,Paris 14e Arrondissement,5311,751145311,Montparnasse 11,A,0.081050839533269,4,2,0.0,751145311,75114,80.16029628829,80.16029628829,49.35174050057946,989.0125352173128,24.67587025028973,0.0,14,2187.6427001618945,27.677912451349002,-21.67382804923046,-21.67382804923046,21.67382804923046,False,False,observed_non_zero,43.2742428065056,-6.0774976940738625,45.59247305777793,-3.75926744280153
iris_ge.203,IRIS____0000000751010104,75101,Paris 1er Arrondissement,0104,751010104,Saint-Germain l'Auxerrois 4,A,0.2238541398057102,18,0,0.0,751010104,75101,0.0,0.0,80.40950243592877,0.0,0.0,0.0,01,750.1961221170493,127.27132660554365,46.86182416961488,46.86182416961488,46.86182416961488,False,True,observed_non_zero,94.53962035724209,14.130117921313314,103.69368772936686,23.284185293438085
iris_ge.214,IRIS____0000000751145407,75114,Paris 14e Arrondissement,5407,751145407,Parc de Montsouris 7,A,0.1382053834651636,0,0,0.0,751145407,75114,327.085215342049,310.418527581276,0.0,2366.660452300651,0.0,0.0,14,3132.901554809328,99.74069602797074,99.74069602797074,99.74069602797074,99.74069602797074,False,True,potential_true_zero,33.975360361052374,33.975360361052374,25.502011054509236,25.502011054509236
iris_ge.399,IRIS____0000000751083102,75108,Paris 8e Arrondissement,3102,751083102,Madeleine 2,A,0.1012379523946997,0,0,0.0,751083102,75108,224.608608718882,224.608608718882,0.0,2218.6206200930765,0.0,0.0,08,2566.731471322984,45.15488056513664,45.15488056513664,45.15488056513664,45.15488056513664,False,False,potential_true_zero,20.903790626853247,20.903790626853247,14.291961535042077,14.291961535042077
iris_ge.433,IRIS____0000000751083103,75108,Paris 8e Arrondissement,3103,751083103,Madeleine 3,A,0.0810664984060893,1,0,0.0,751083103,75108,837.191959036643,837.191959036643,12.335551919248608,10327.224877073962,0.0,0.0,08,2718.1222265446986,139.0160878038022,126.68053588455359,126.68053588455359,126.68053588455359,False,False,observed_non_zero,59.982057243072774,47.646505323824165,56.44705634158134,44.11150442233273
iris_ge.437,IRIS____0000000751083104,75108,Paris 8e Arrondissement,3104,751083104,Madeleine 4,A,0.0756069222589951,0,0,0.0,751083104,75108,468.987796416811,468.987796416811,0.0,6202.974309816116,0.0,0.0,08,2575.6830585046587,50.48599123698248,50.48599123698248,50.48599123698248,50.48599123698248,False,False,potential_true_zero,28.20861199307713,28.20861199307713,26.75490081459322,26.75490081459322
iris_ge.443,IRIS____0000000751093401,75109,Paris 9e Arrondissement,3401,751093401,Chaussée d'Antin 1,A,0.0416916033106392,0,0,0.0,751093401,75109,149.554241693083,149.554241693083,0.0,3587.154962086055,0.0,0.0,09,1798.2828800475409,22.739816331574996,22.739816331574996,22.739816331574996,22.739816331574996,False,False,potential_true_zero,12.618794545896023,12.618794545896023,15.820556305337398,15.820556305337398
iris_ge.447,IRIS____0000000751093402,75109,Paris 9e Arrondissement,3402,751093402,Chaussée d'Antin 2,A,0.0635154534779058,3,0,0.0,751093402,75109,0.0,0.0,47.23259987498261,0.0,0.0,0.0,09,1857.854025224992,20.477896085352267,-26.754703789630344,-26.754703789630344,26.754703789630344,False,True,observed_non_zero,35.90643116159904,-11.326168713383574,37.46102497593374,-9.771574899048872
iris_ge.478,IRIS____0000000751093403,75109,Paris 9e Arrondissement,3403,751093403,Chaussée d'Antin 3,A,0.1217924578215894,4,0,0.0,751093403,75109,1252.35947968049,1252.35947968049,32.842756206295576,10282.73426844738,0.0,0.0,09,1993.5084558533265,12.819665190179375,-20.0230910161162,-20.0230910161162,20.0230910161162,False,False,observed_non_zero,27.39606247963739,-5.446693726658186,26.43112596908114,-6.411630237214435
iris_ge.482,IRIS____0000000751093404,75109,Paris 9e Arrondissement,3404,751093404,Chaussée d'Antin 4,A,0.0245854803635712,3,0,0.0,751093404,75109,112.042535935584,112.042535935584,122.02324118283866,4557.264461734878,0.0,0.0,09,2156.1333455839185,80.46524741786268,-41.557993764975976,-41.557993764975976,41.557993764975976,False,False,observed_non_zero,107.73356174154924,-14.289679441289422,113.21538646792845,-8.807854714910206
iris_ge.488,IRIS____0000000751010205,75101,Paris 1er Arrondissement,0205,751010205,Les Halles 5,A,0.0685755701509173,54,0,18128.06552017937,751010205,75101,0.0,0.0,787.4524394206237,0.0,0.0,0.2643516558489285,01,656.5759578132302,86.0775681134227,-701.374871307201,-701.374871307201,701.374871307201,False,True,observed_non_zero,375.1755603148893,-412.2768791057344,397.0790772563029,-390.3733621643208
iris_ge.490,IRIS____0000000751010206,75101,Paris 1er Arrondissement,0206,751010206,Les Halles 6,A,0.0391513696640338,7,0,0.0,751010206,75101,548.586711949229,548.586711949229,178.79323405716005,14011.94177002662,0.0,0.0,01,902.5402414290188,125.456970356149,-53.33626370101105,-53.33626370101105,53.33626370101105,False,False,observed_non_zero,139.58882328536538,-39.20441077179467,148.7868537895461,-30.006380267613963
iris_ge.503,IRIS____0000000751093405,75109,Paris 9e Arrondissement,3405,751093405,Chaussée d'Antin 5,A,0.0440829552975748,0,0,0.0,751093405,75109,405.879574613449,405.879574613449,0.0,9207.177056838053,0.0,0.0,09,2011.4758784341536,57.81043045417722,57.81043045417722,57.81043045417722,57.81043045417722,False,False,potential_true_zero,17.507419777514095,17.507419777514095,19.48386240870004,19.48386240870004
iris_ge.505,IRIS____0000000751010302,75101,Paris 1er Arrondissement,0302,751010302,Palais Royal 2,A,0.0360100678110316,0,0,0.0,751010302,75101,177.3401231638,177.3401231638,0.0,4924.737273320883,0.0,0.0,01,955.3088310190394,103.80553848872965,103.80553848872965,103.80553848872965,103.80553848872965,False,False,potential_true_zero,51.805548531161904,51.805548531161904,51.59047631264223,51.59047631264223
iris_ge.514,IRIS____0000000751010303,75101,Paris 1er Arrondissement,0303,751010303,Palais Royal 3,A,0.0397770967564293,5,0,0.0,751010303,75101,290.546820877295,290.546820877295,125.70047609600428,7304.374742491291,0.0,0.0,01,887.3761144511087,85.46577623027729,-40.234699865726995,-40.234699865726995,40.234699865726995,False,False,observed_non_zero,116.51111752769344,-9.189358568310837,126.22885347687865,0.5283773808743746
iris_ge.518,IRIS____0000000751093406,75109,Paris 9e Arrondissement,3406,751093406,Chaussée d'Antin 6,A,0.0334493762590401,1,0,0.0,751093406,75109,57.3717878516701,57.3717878516701,29.89592368646148,1715.1825913693872,0.0,0.0,09,1923.506477882449,64.34169030548264,34.445766619021164,34.445766619021164,34.445766619021164,False,False,observed_non_zero,82.41517193065687,52.51924824419539,99.12773999012113,69.23181630365966
iris_ge.537,IRIS____0000000751093407,75109,Paris 9e Arrondissement,3407,751093407,Chaussée d'Antin 7,A,0.0713361574556317,3,1,0.0,751093407,75109,1220.11839698656,1220.11839698656,42.0544098112641,17103.786361711802,14.0181366037547,0.0,09,2150.4453219876195,57.65650290222124,15.60209309095714,15.60209309095714,15.60209309095714,False,False,observed_non_zero,43.31394912001117,1.2595393087470725,44.167483141059385,2.1130733297952844
iris_ge.547,IRIS____0000000751010402,75101,Paris 1er Arrondissement,0402,751010402,Place Vendôme 2,A,0.1674049320966374,4,0,0.0,751010402,75101,1163.42339840464,1163.42339840464,23.894158612309763,6949.75580368823,0.0,0.0,01,1587.9164366599875,51.65745357152096,27.763294959211198,27.763294959211198,27.763294959211198,False,False,observed_non_zero,39.18144588293141,15.28728727062165,34.53208080058347,10.63792218827371
iris_ge.559,IRIS____0000000751020501,75102,Paris 2e Arrondissement,0501,751020501,Gaillon 1,A,0.0731713847844339,4,1,0.0,751020501,75102,922.885879600567,875.884914730025,54.66617874985112,12612.661114989543,13.66654468746278,0.0,02,1474.9325728057554,162.58766778479028,107.92148903493916,107.92148903493916,107.92148903493916,False,False,observed_non_zero,79.1733471629863,24.507168413135183,94.98078290441393,40.31460415456281
iris_ge.564,IRIS____0000000751093408,75109,Paris 9e Arrondissement,3408,751093408,Chaussée d'Antin 8,A,0.082117547811901,0,0,0.0,751093408,75109,980.767152213279,980.767152213279,0.0,11943.453967473924,0.0,0.0,09,2219.0860098401363,171.80942517744347,171.80942517744347,171.80942517744347,171.80942517744347,False,False,potential_true_zero,50.49852251580125,50.49852251580125,52.52883365069394,52.52883365069394
iris_ge.574,IRIS____0000000751020502,75102,Paris 2e Arrondissement,0502,751020502,Gaillon 2,A,0.0754003645417373,4,0,0.0,751020502,75102,273.950234923062,273.950234923062,53.05014139269615,3633.2746743076914,0.0,0.0,02,1643.707631680878,39.348422136928725,-13.701719255767422,-13.701719255767422,13.701719255767422,False,False,observed_non_zero,38.901997701797356,-14.148143690898792,36.03288674458005,-17.0172546481161
iris_ge.575,IRIS____0000000751020503,75102,Paris 2e Arrondissement,0503,751020503,Gaillon 3,A,0.0402945934512793,0,1,0.0,751020503,75102,123.896792479711,123.896792479711,0.0,3074.774600456414,24.81722519943308,0.0,02,1644.756625989963,48.520869682597656,48.520869682597656,48.520869682597656,48.520869682597656,True,False,suspected_false_zero,17.18356498046604,17.18356498046604,43.192747677124245,43.192747677124245
iris_ge.600,IRIS____0000000751020602,75102,Paris 2e Arrondissement,0602,751020602,Vivienne 2,A,0.1265536140628519,0,0,0.0,751020602,75102,1376.09479092935,1376.09479092935,0.0,10873.611165667082,0.0,0.0,02,1548.3791434198688,28.60392352888037,28.60392352888037,28.60392352888037,28.60392352888037,False,False,potential_true_zero,19.544403679432474,19.544403679432474,21.106066525047517,21.106066525047517
iris_ge.610,IRIS____0000000751093409,75109,Paris 9e Arrondissement,3409,751093409,Chaussée d'Antin 9,A,0.0607243818431716,64,0,0.0,751093409,75109,692.499166343973,692.499166343973,1053.9423878416417,11403.972264920516,0.0,0.0,09,2283.4322930864305,29.255365271012362,-1024.6870225706293,-1024.6870225706293,1024.6870225706293,False,False,observed_non_zero,515.8933362347725,-538.0490516068692,529.9924627038013,-523.9499251378404
iris_ge.633,IRIS____0000000751020704,75102,Paris 2e Arrondissement,0704,751020704,Mail 4,A,0.048379973588109,1,1,0.0,751020704,75102,732.308840870229,732.308840870229,20.669709506533977,15136.61100985425,20.669709506533977,0.0,02,1537.3667590975708,187.9240626041976,167.25435309766362,167.25435309766362,167.25435309766362,False,False,observed_non_zero,125.45448682012535,104.78477731359138,147.04692354361512,126.37721403708115
iris_ge.640,IRIS____0000000751082903,75108,Paris 8e Arrondissement,2903,751082903,Champs Élysées 3,A,0.1346203214570478,2,1,0.0,751082903,75108,399.606629382475,399.606629382475,14.856598011007744,2968.397527634593,7.428299005503872,0.0,08,3091.6910074467637,54.40994541791195,39.55334740690421,39.55334740690421,39.55334740690421,False,False,observed_non_zero,41.18479522107318,26.328197210065436,40.66239483312149,25.805796822113745
iris_ge.645,IRIS____0000000751082904,75108,Paris 8e Arrondissement,2904,751082904,Champs Élysées 4,A,0.0678781345945382,0,0,0.0,751082904,75108,233.907840932563,233.907840932563,0.0,3445.9968932526367,0.0,0.0,08,3338.305161099152,33.06271858700133,33.06271858700133,33.06271858700133,33.06271858700133,False,False,potential_true_zero,11.53442758228143,11.53442758228143,15.9539123263549,15.9539123263549
iris_ge.674,IRIS____0000000751052005,75105,Paris 5e Arrondissement,2005,751052005,Sorbonne 5,A,0.074040279686105,4,0,1483.979963229494,751052005,75105,464.107309066496,189.105128371741,54.02464735354951,6268.308426630564,0.0,0.0200428735483016,05,937.65262117895,192.90199962775688,138.87735227420737,138.87735227420737,138.87735227420737,False,False,observed_non_zero,91.7355481070094,37.71090075345988,89.31474434602647,35.29009699247696
iris_ge.699,IRIS____0000000751082905,75108,Paris 8e Arrondissement,2905,751082905,Champs Élysées 5,A,0.0721173669528709,1,1,0.0,751082905,75108,328.59044065622,328.59044065622,13.86628550448194,4556.328864182677,13.86628550448194,0.0,08,3574.026127823952,76.60304010811744,62.736754603635504,62.736754603635504,62.736754603635504,False,False,observed_non_zero,31.410036349367154,17.543750844885214,32.92880369209739,19.06251818761545
iris_ge.703,IRIS____0000000751082906,75108,Paris 8e Arrondissement,2906,751082906,Champs Élysées 6,A,0.0459871906991568,4,0,0.0,751082906,75108,15.9559394036129,15.9559394036129,86.9807426630507,346.96486480322113,0.0,0.0,08,3651.094657392685,28.2727233906901,-58.7080192723606,-58.7080192723606,58.7080192723606,False,False,observed_non_zero,62.21891328078635,-24.761829382264352,65.5784144900422,-21.4023281730085
iris_ge.714,IRIS____0000000751041304,75104,Paris 4e Arrondissement,1304,751041304,Saint-Merri 4,A,0.0755269318563163,7,0,7224.867840219189,751041304,75104,304.185038804026,304.185038804026,92.68217082241488,4027.504246865378,0.0,0.0956594907623666,04,568.4079400633153,140.68383583486116,48.00166501244628,48.00166501244628,48.00166501244628,False,False,observed_non_zero,206.33321217365105,113.65104135123617,205.5472221463757,112.86505132396083
iris_ge.715,IRIS____0000000751041305,75104,Paris 4e Arrondissement,1305,751041305,Saint-Merri 5,A,0.0087395209026437,0,0,0.0,751041305,75104,0.0,0.0,0.0,0.0,0.0,0.0,04,769.6547461117835,64.0683582468081,64.0683582468081,64.0683582468081,64.0683582468081,False,True,potential_true_zero,54.6671911907785,54.6671911907785,70.27254313889712,70.27254313889712
